leisure,name,is_in_city,name_de,name_en,wikidata,check_date,foot,name_ro,old_name_-1993,alt_name,old_name,old_name_-2012,landuse,access,old_name_-1990,addr_city,addr_street,place,bicycle,opening_hours,leaf_cycle,leaf_type,level,addr_housenumber,addr_postcode,addr_postcode_source,source,natural,religion,type,alt_name_de,alt_name_ro,category,intermittent,water,salt,tidal,man_made,basin,amenity,cuisine,phone,website,check_date_opening_hours,addr_country,internet_access,outdoor_seating,smoking,delivery,air_conditioning,beds,rooms,stars,tourism,_tip_,note,diet_vegetarian,website_menu,description,email,wifi,capacity,takeaway,wheelchair,diet_vegan,indoor_seating,organic,payment_credit_cards,payment_debit_cards,brand,brand_wikidata,brand_wikipedia,contact_email,contact_facebook,contact_instagram,contact_phone,contact_website,contact_youtube,operator,toilets_wheelchair,handwashing_soap,toilets,toilets_access,toilets_paper_supplied,opening_hours_signed,addr_neighbourhood,bar,building,diet_meat,building_material,height,roof_colour,roof_shape,building_levels,building_roof_shape,internet_access_fee,payment_cash,payment_contactless,official_name,facebook,theme,compressed_air,fuel_lpg,contact_tiktok,name_ru,fuel_diesel,tiktok,fuel_octane_100,fuel_octane_95,fuel_octane_98,maxheight,fuel_octane,mapillary,survey_date,parking,fee,fee_conditional,supervised,surface,capacity_disabled,charge,operator_type,psv,park_ride,maxstay,covered,smoothness,area,construction_end_expected,source_capacity,layer,orientation,bus,parking_orientation,emergency,healthcare,building_facade_colour,wikipedia,healthcare_speciality,barrier,education,is_in_country,is_in_county,start_date,name_hu,grades,fixme,official_name_en,official_name_ro,atm,drive_through,brand_en,brand_ro,addr_housename,branch,operator_wikidata,operator_wikipedia,short_name,dispensing,historic,artwork_type,name_pl,archaeological_site,historic_civilization,author,material,memorial,locomotive_type,inscription,denomination,defensive_works,wikipedia_de,name_el,heritage,heritage_operator,ref_RO_lmi,wikimedia_commons,ruins,aircraft_type,manufacturer,manufacturer_wikidata,manufacturer_wikipedia,model_wikidata,model_wikipedia,ref,castle_type,SIRUTA_code,codul_entității_muzeale,description_ro,fax,source_link,tourism_survey,contact_fax,museum_type,museum,direction,building_colour,name_sr,bridge_structure,lat,lon
,Cercul de Foc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restaurants,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7648041,21.2473939
,Zaytoun,,,,,,,,,,,,,,,,,,,Mo-Su 11:00-23:00,,,,,,,,,,,,,restaurants,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7581651,21.2280857
,Restaurant Yugoslavia,,,,,,,,,,,,,,,,Strada Vadul Călugăreni,,,Mo-Su 12:00-23:00,,,,1,,,,,,,,,restaurants,,,,,,,restaurant,balkan,,http://www.restaurantyugoslavia.ro,,,,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7397008,21.2211746
,Dorna,,,,,,,,,,,,,,,Timișoara,Strada Martir Ioan Stanciu,,,,,,,2,,,,,,,,,restaurants,,,,,,,restaurant,regional,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.734276,21.2382547
,San Marzano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restaurants,,,,,,,restaurant,pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.767937,21.2163116
,Giovana,,,,,,,,,,,,,,,Timișoara,Strada Bucovinei,,,,,,,43,,,,,,,,,restaurants,,,,,,,restaurant,pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.76975,21.2116249
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restaurants,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7694389,21.271318
,Casa Armatei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restaurants,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7557364,21.2265567
,Duke's,,,,,,,,,,,,,,,Timișoara,Strada Emanuil Ungureanu,,,,,,,8,300079,,,,,,,,restaurants,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7575429,21.2273771
,La Pădure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restaurants,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.776642,21.2664896
,Nora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restaurants,,,,,,,restaurant,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7341637,21.2022431
,Adriatico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restaurants,,,,,,,restaurant,,,,,,,,,,,36,18,3,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7801014,21.2364721
,OFICIALS TITANIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restaurants,,,,,,,restaurant,,,,,,,,,,,75,,2,hotel,H,Add me to the right place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7525428,21.2809364
,Streliția,,,,,,,,,,,,,,,Timișoara,Bulevardul Simion Bărnuțiu,,,,,,,44,300133,,,,,,,,restaurants,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7633494,21.2558394
,Hotel Delpack,,,,,,,,,,,,,,,,Strada Glad,,,,,,,51,,,,,,,,,restaurants,,,,,,,restaurant,,,,,,,,,,,75,40,4,hotel,Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7349477,21.2189125
,Hotel Reghina,,,,,,,,,,,,,,,Timișoara,Strada Cozia,,,,,,,91,300580,"Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana",,,,,,,restaurants,,,,,,,restaurant,,,,,,,,,,,57,,3,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7412989,21.2373235
,Bombay,,,,,,,,,,,,,,,Timișoara,Strada Mehadia,,,,,,,4,300561,,,,,,,,restaurants,,,,,,,restaurant,indian,0770987000,https://bombaytheindianrestaurant.eatbu.com/?lang=en,,,,,,yes,yes,,,,,,,yes,https://apps.appy.ro/webOrders/#shop/BombayTimisoara/ln/ro/l/25238872/g/0/pm/0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7523673,21.2432185
,Casa Politehnicii nr. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restaurants,,,,,,,restaurant,,,,,,,,,,,,,3,,,Add me to the right place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7522335,21.2311698
,Valentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restaurants,,,,,,,restaurant,,,,,,,,,,,36,,3,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7511933,21.245179
,Ramina,,,,,,,,,,,,,,,,Strada Ștrandului,,,Mo-Su 07:00-23:00,,,,12A,300310,,Owner,,,,,,restaurants,,,,,,,restaurant,,+40256 -272732,www.hotel-ramina.ro,,,,,,,,,,,,,,,,"Hotel Ramina este locatia ideala atât pentru turistii dornici sa viziteze orasul cât si pentru oamenii de afaceri, avand o capacitate totala de 33 locuri de cazare. Dotari - seif, minibar, telefon, internet Wi-Fi si LAN gratuit, TV LCD, parcare proprie in",office@hotel-ramina.ro,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7681952,21.2683718
,Sky Restaurant,,,,,,,,,,,,,,,Timișoara,Strada Coriolan Brediceanu,,,8 - 12 - Mic dejun & coffee break;12 - 16 - Meniu À la carte;16 - 18 - Închis;18 - 24 - Meniu À la carte,,,,15,300011,,,,,,,,restaurants,,,,,,,restaurant,international,+40770422816,http://skyrestaurant.casadelsole.ro/ro/,,,,,isolated,yes,,,,,,,,,,,,,200,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7568019,21.2217609
,Il Peperoncino,,,,,,,,,,,,,,,Timișoara,Calea Martirilor 1989,,,Mo-Sa 08:00-23:30,,,,71,300777,"Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana",,,,,,,restaurants,,,,,,,restaurant,pizza,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7289837,21.2376085
